# Чем получено: implementations of HierarchicalRuleOptionsInterface and
#   LevelOptionsInterface, on tree 6a833ab8fcd5004e964e32a59bfeb9978c39739c
#   (branch x17-promise-effect).
#   Serena (primary witness), both calls with default arguments:
#     mcp__serena__find_implementations
#       name_path=HierarchicalRuleOptionsInterface
#       relative_path=src/Analysis/Finding/Contract/Rule/HierarchicalRuleOptionsInterface.php
#     mcp__serena__find_implementations
#       name_path=LevelOptionsInterface
#       relative_path=src/Analysis/Finding/Contract/Rule/LevelOptionsInterface.php
#   grep (second witness):
#     grep -rn "implements.*HierarchicalRuleOptionsInterface" src/ --include='*.php'
#     grep -rn "implements.*LevelOptionsInterface" src/ --include='*.php'
#     grep -rln "LevelOptionsInterface" src/ --include='*.php'   (file-mention variant)
#   Flat branch / levels / guards:
#     grep -n "function fromArray" <file>
#     grep -n "array_key_exists('threshold'|array_key_exists(RuleOptionKey::THRESHOLD|hasFlatMaxWarning" <file>
#     grep -A2 "function getSupportedLevels" <file>
#     grep -c "config === \[\]" <file>
#
# GREP vs SERENA — расхождение:
#   HierarchicalRuleOptionsInterface: Serena 5, grep 5. Identical sets. No discrepancy.
#   LevelOptionsInterface: Serena 10, narrow grep ("implements.*LevelOptionsInterface") 10.
#   Identical sets. No discrepancy.
#   The file-MENTION grep (grep -rln) returns 20 files and is the one that is wrong: the
#   extra 10 are the interface itself, HierarchicalRuleOptionsInterface (return type), the
#   5 hierarchical wrappers (they RETURN a LevelOptionsInterface from forLevel(), they do
#   not implement it), and AbstractRule / RuleOptionKeyRecognition /
#   BaselineConfiguredThresholds (consumers). Measured, not assumed: an earlier draft of
#   this file predicted the narrow grep would find 0 (guessing the implements lists were
#   line-wrapped); running it showed all 10 are single-line
#   `final readonly class X implements LevelOptionsInterface, ThresholdAwareOptionsInterface`.
#   The implementation set below is Serena's; the narrow grep confirms it independently.
#
# Чего этот способ не видит:
#   - An implementation reached through an abstract base class or a trait: Serena resolves
#     it, the greps do not. None exists here (all 15 classes are `final readonly class`),
#     so the two witnesses agreeing is weak evidence, not proof of the method.
#   - Anonymous classes implementing either interface (Serena would list them; none found).
#   - The "flat branch" column is decided by reading each fromArray() body by eye. A branch
#     that keys off something other than a literal `threshold`/`max_warning`/`max_error`
#     presence check would be misclassified.
#   - A level class does not carry a flat branch of its own; its `threshold` shorthand is
#     handled one level down, inside ThresholdParser::parse()
#     (src/Analysis/Finding/Contract/Rule/ThresholdParser.php:47-83), which is shared and
#     therefore listed once rather than per class.
#
# TOTALS: HierarchicalRuleOptionsInterface 5 | LevelOptionsInterface 10 | with flat branch 5/5
#
# Columns:
# role<TAB>class<TAB>file<TAB>levels<TAB>fromArray_line<TAB>flat_branch_line<TAB>flat_branch_condition<TAB>effect_on_sibling_levels
hierarchical	ComplexityOptions	src/Analysis/Evidence/Complexity/ComplexityOptions.php	callable,class	31	43	array_key_exists('threshold', $config)	callable gets threshold as warning=error; class is constructed with enabled:false — the sibling level is SILENCED, and any callable:/class: sub-config present in the same array is never read
hierarchical	CognitiveComplexityOptions	src/Analysis/Evidence/Complexity/CognitiveComplexityOptions.php	callable,class	31	43	array_key_exists('threshold', $config)	same as ComplexityOptions: class level constructed enabled:false, nested sub-configs short-circuited
hierarchical	NpathComplexityOptions	src/Analysis/Evidence/Complexity/NpathComplexityOptions.php	callable,class	31	43	array_key_exists('threshold', $config)	same as ComplexityOptions: class level constructed enabled:false, nested sub-configs short-circuited
hierarchical	CboOptions	src/Analysis/Evidence/Coupling/CboOptions.php	class,namespace	31	58	array_key_exists(THRESHOLD) OR array_key_exists(WARNING) OR array_key_exists(ERROR)	BOTH levels get the same threshold (neither is silenced); top-level `scope` is copied into the class level only; nested class:/namespace: sub-configs are never read. Bare top-level warning/error alone also opens this branch
hierarchical	InstabilityOptions	src/Analysis/Evidence/Coupling/InstabilityOptions.php	class,namespace	31	48	array_key_exists(THRESHOLD) OR max_warning/maxWarning OR max_error/maxError	BOTH levels get the same max_warning/max_error; nested class:/namespace: sub-configs are never read
level	MethodComplexityOptions	src/Analysis/Evidence/Complexity/MethodComplexityOptions.php	callable (leaf)	31	-	none; threshold shorthand resolved by ThresholdParser::parse($config, WARNING, ERROR, 10, 20)	n/a — leaf. Early return on $config === [] (defaults)
level	ClassComplexityOptions	src/Analysis/Evidence/Complexity/ClassComplexityOptions.php	class (leaf)	33	-	none; ThresholdParser::parse($config, 'max_warning', 'max_error', 30, 50, legacyKeys maxWarning/maxError)	n/a — leaf. Early return on $config === []
level	MethodCognitiveComplexityOptions	src/Analysis/Evidence/Complexity/MethodCognitiveComplexityOptions.php	callable (leaf)	31	-	none; ThresholdParser::parse($config, WARNING, ERROR, 15, 30)	n/a — leaf. NO $config === [] early return
level	ClassCognitiveComplexityOptions	src/Analysis/Evidence/Complexity/ClassCognitiveComplexityOptions.php	class (leaf)	33	-	none; ThresholdParser::parse($config, 'max_warning', 'max_error', 30, 50, legacyKeys)	n/a — leaf. NO $config === [] early return
level	MethodNpathComplexityOptions	src/Analysis/Evidence/Complexity/MethodNpathComplexityOptions.php	callable (leaf)	31	-	none; ThresholdParser::parse($config, WARNING, ERROR, 200, 1000)	n/a — leaf. NO $config === [] early return
level	ClassNpathComplexityOptions	src/Analysis/Evidence/Complexity/ClassNpathComplexityOptions.php	class (leaf)	31	-	none; ThresholdParser::parse($config, 'max_warning', 'max_error', 500, 1000, legacyKeys)	n/a — leaf. NO $config === [] early return
level	ClassCboOptions	src/Analysis/Evidence/Coupling/ClassCboOptions.php	class (leaf)	41	-	none; ThresholdParser::parse($config, WARNING, ERROR, 14, 20)	n/a — leaf. Early return on $config === []; additionally parses `scope`
level	NamespaceCboOptions	src/Analysis/Evidence/Coupling/NamespaceCboOptions.php	namespace (leaf)	37	-	none; ThresholdParser::parse($config, WARNING, ERROR, 14, 20)	n/a — leaf. Early return on $config === []
level	ClassInstabilityOptions	src/Analysis/Evidence/Coupling/ClassInstabilityOptions.php	class (leaf)	36	-	none; ThresholdParser::parse($config, 'max_warning', 'max_error', 0.8, 0.95, legacyKeys)	n/a — leaf. Early return on $config === []; additionally parses min_afferent/minAfferent
level	NamespaceInstabilityOptions	src/Analysis/Evidence/Coupling/NamespaceInstabilityOptions.php	namespace (leaf)	37	-	none; ThresholdParser::parse($config, 'max_warning', 'max_error', 0.8, 0.95, legacyKeys)	n/a — leaf. Early return on $config === []
