# HIERARCHICAL RULE OPTION SHAPES
# Enumerates implementations of HierarchicalRuleOptionsInterface and LevelOptionsInterface from the live type graph, with text search as an independent witness.
# The five hierarchical wrappers have a flat branch; ten level classes are leaves whose threshold shorthand is handled by ThresholdParser.
# Flat-branch classification comes from reading each fromArray body and would miss a branch expressed through an unexpected helper.
# Columns: role, class, file, levels, fromArray line, flat-branch line, condition, effect on sibling levels.
#
hierarchical	ComplexityOptions	src/Analysis/Evidence/Complexity/ComplexityOptions.php	callable,class	31	43	array_key_exists('threshold', $config)	callable gets threshold as warning=error; class is constructed with enabled:false — the sibling level is SILENCED, and any callable:/class: sub-config present in the same array is never read
hierarchical	CognitiveComplexityOptions	src/Analysis/Evidence/Complexity/CognitiveComplexityOptions.php	callable,class	31	43	array_key_exists('threshold', $config)	same as ComplexityOptions: class level constructed enabled:false, nested sub-configs short-circuited
hierarchical	NpathComplexityOptions	src/Analysis/Evidence/Complexity/NpathComplexityOptions.php	callable,class	31	43	array_key_exists('threshold', $config)	same as ComplexityOptions: class level constructed enabled:false, nested sub-configs short-circuited
hierarchical	CboOptions	src/Analysis/Evidence/Coupling/CboOptions.php	class,namespace	31	58	array_key_exists(THRESHOLD) OR array_key_exists(WARNING) OR array_key_exists(ERROR)	BOTH levels get the same threshold (neither is silenced); top-level `scope` is copied into the class level only; nested class:/namespace: sub-configs are never read. Bare top-level warning/error alone also opens this branch
hierarchical	InstabilityOptions	src/Analysis/Evidence/Coupling/InstabilityOptions.php	class,namespace	31	48	array_key_exists(THRESHOLD) OR max_warning/maxWarning OR max_error/maxError	BOTH levels get the same max_warning/max_error; nested class:/namespace: sub-configs are never read
level	MethodComplexityOptions	src/Analysis/Evidence/Complexity/MethodComplexityOptions.php	callable (leaf)	31	-	none; threshold shorthand resolved by ThresholdParser::parse($config, WARNING, ERROR, 10, 20)	n/a — leaf. Early return on $config === [] (defaults)
level	ClassComplexityOptions	src/Analysis/Evidence/Complexity/ClassComplexityOptions.php	class (leaf)	33	-	none; ThresholdParser::parse($config, 'max_warning', 'max_error', 30, 50, legacyKeys maxWarning/maxError)	n/a — leaf. Early return on $config === []
level	MethodCognitiveComplexityOptions	src/Analysis/Evidence/Complexity/MethodCognitiveComplexityOptions.php	callable (leaf)	31	-	none; ThresholdParser::parse($config, WARNING, ERROR, 15, 30)	n/a — leaf. NO $config === [] early return
level	ClassCognitiveComplexityOptions	src/Analysis/Evidence/Complexity/ClassCognitiveComplexityOptions.php	class (leaf)	33	-	none; ThresholdParser::parse($config, 'max_warning', 'max_error', 30, 50, legacyKeys)	n/a — leaf. NO $config === [] early return
level	MethodNpathComplexityOptions	src/Analysis/Evidence/Complexity/MethodNpathComplexityOptions.php	callable (leaf)	31	-	none; ThresholdParser::parse($config, WARNING, ERROR, 200, 1000)	n/a — leaf. NO $config === [] early return
level	ClassNpathComplexityOptions	src/Analysis/Evidence/Complexity/ClassNpathComplexityOptions.php	class (leaf)	31	-	none; ThresholdParser::parse($config, 'max_warning', 'max_error', 500, 1000, legacyKeys)	n/a — leaf. NO $config === [] early return
level	ClassCboOptions	src/Analysis/Evidence/Coupling/ClassCboOptions.php	class (leaf)	41	-	none; ThresholdParser::parse($config, WARNING, ERROR, 14, 20)	n/a — leaf. Early return on $config === []; additionally parses `scope`
level	NamespaceCboOptions	src/Analysis/Evidence/Coupling/NamespaceCboOptions.php	namespace (leaf)	37	-	none; ThresholdParser::parse($config, WARNING, ERROR, 14, 20)	n/a — leaf. Early return on $config === []
level	ClassInstabilityOptions	src/Analysis/Evidence/Coupling/ClassInstabilityOptions.php	class (leaf)	36	-	none; ThresholdParser::parse($config, 'max_warning', 'max_error', 0.8, 0.95, legacyKeys)	n/a — leaf. Early return on $config === []; additionally parses min_afferent/minAfferent
level	NamespaceInstabilityOptions	src/Analysis/Evidence/Coupling/NamespaceInstabilityOptions.php	namespace (leaf)	37	-	none; ThresholdParser::parse($config, 'max_warning', 'max_error', 0.8, 0.95, legacyKeys)	n/a — leaf. Early return on $config === []
